enabled,date,weekday,title,session_type,planned_duration_min,planned_km,planned_hr_min,planned_hr_max,planned_notes,event_mode_override,start_time_override,end_time_override,status,actual_km,actual_duration_min,actual_avg_hr,actual_max_hr,actual_avg_pace,actual_rpe,actual_notes,feedback_summary,calendar_event_id,event_last_synced_at,calendar_title_snapshot
TRUE,2026-03-30,Monday,Easy / prep,run,40,6,125,140,"Easy day. If Tuesday long run becomes impossible, move the long run here and reduce Tuesday.",,,,planned,,,,,,,,Status: planned,hk77t3ut0i0hmkp35sgjoo9dsc@google.com,2026.03.27.,TRAIN Easy / prep
TRUE,2026-03-31,Tuesday,Long run,run,75,12,135,145,Preferred long-run day.,,,,planned,,,,,,,,Status: planned,9i4ebqm25mcdqb577h4udv37p8@google.com,2026.03.27.,TRAIN Long run
TRUE,2026-04-01,Wednesday,Recovery / optional jog,recovery,,,120,135,Skip if legs feel beat up.,,,,planned,,,,,,,,Status: planned,nis6ro2e553uidlkpuquatf9c0@google.com,2026.03.27.,TRAIN Recovery / optional jog
TRUE,2026-04-02,Thursday,Football,football,120,,150,175,Football replaces speed / interval work.,,,,planned,,,,,,,,Status: planned,3koqi3rs56ka42dgc4hhbuq1jc@google.com,2026.03.27.,TRAIN Football
TRUE,2026-04-03,Friday,Fasting / rest,rest,,,,,No hard training before 17:00. Usually rest or easy walk only.,,,,planned,,,,,,,,Status: planned,hehmq47ojqecfevl3q3giliei4@google.com,2026.03.27.,TRAIN Fasting / rest
TRUE,2026-04-04,Saturday,Medium Z2 run,run,50,9,135,145,Controlled aerobic run.,,,,planned,,,,,,,,Status: planned,bvceq92gkkiol3tuqfq97qutp4@google.com,2026.03.27.,TRAIN Medium Z2 run
TRUE,2026-04-05,Sunday,Bike hills,bike,75,,130,145,"Climb-focused bike ride; moderate, not maximal.",,,,planned,,,,,,,,Status: planned,qqva1p2pngf7kb3u1s216mc2t4@google.com,2026.03.27.,TRAIN Bike hills
TRUE,2026-04-06,Monday,Easy / prep,run,35,5,125,140,"Easy day. If Tuesday long run becomes impossible, move the long run here and reduce Tuesday.",,,,planned,,,,,,,,Status: planned,bpa485gpl33b471sthscr4759s@google.com,2026.03.27.,TRAIN Easy / prep
TRUE,2026-04-07,Tuesday,Long run,run,85,14,135,145,Preferred long-run day.,,,,planned,,,,,,,,Status: planned,dpcjnmgrq4k8qpu9kvck0j1360@google.com,2026.03.27.,TRAIN Long run
TRUE,2026-04-08,Wednesday,Recovery / optional jog,recovery,30,4,120,135,Skip if legs feel beat up.,,,,planned,,,,,,,,Status: planned,4btf864gqno5dk0p10rvgvi7ec@google.com,2026.03.27.,TRAIN Recovery / optional jog
